id,Unnamed: 0,#,Country,Flag,Num Players,Women,% of Women,FIDE Average,GMs,IMs,FMs,WGMs,WIMs,WFMs,Age Avg,Latitude,Longitude
RUS,0,1,Russia,,34497,5734,16.62,1666,236,522,1177,50,101,409,34,64.6863136,97.7453061
IND,1,2,India,,32735,3581,10.94,1275,64,114,83,9,41,42,27,22.3511148,78.6677428
DEU,2,3,Germany,,26577,1751,6.59,1841,94,273,861,18,40,69,49,51.1638175,10.4478313
ESP,3,4,Spain,,25009,1430,5.72,1429,55,134,365,2,14,37,42,39.3260685,-4.8379791
FRA,4,5,France,,23784,2143,9.01,1580,50,117,234,4,18,21,41,46.603354,1.8883335
POL,5,6,Poland,,10596,1537,14.51,1622,45,105,172,9,30,39,37,52.215933,19.134422
ITA,6,7,Italy,,10256,604,5.89,1621,16,45,161,0,1,13,44,42.6384261,12.674297
IRN,7,8,"Iran, Islamic Republic of",,9597,973,10.14,1386,14,23,55,4,4,15,29,36.2618516,59.6052985
TUR,8,9,Turkey,,8230,919,11.17,1424,12,25,72,2,4,16,27,39.294076,35.2316631
CZE,9,10,Czechia,,8008,497,6.21,1752,35,81,159,8,15,18,45,49.7439047,15.3381061
USA,10,11,United States of America,,6547,485,7.41,1887,95,155,352,12,31,46,39,39.7837304,-100.445882
HUN,11,12,Hungary,,6413,588,9.17,1720,52,114,232,9,18,28,44,47.1817585,19.5060937
GRC,12,13,Greece,,5706,762,13.35,1414,14,29,74,3,6,9,32,38.9953683,21.9877132
BRA,13,14,Brazil,,5367,625,11.65,1667,14,31,108,0,9,11,37,-10.3333333,-53.2
SRB,14,15,Serbia,,5212,435,8.35,1858,52,120,328,15,21,32,49,44.0243229,21.0765743
ROU,15,16,Romania,,4520,625,13.83,1585,21,71,108,8,12,33,35,45.9852129,24.6859225
UKR,16,17,Ukraine,,4502,625,13.88,1844,89,199,187,20,33,34,37,49.4871968,31.2718321
NLD,17,18,Netherlands,,4347,253,5.82,1886,36,100,181,4,14,10,49,52.2434979,5.6343227
ARG,18,19,Argentina,,4277,210,4.91,1627,22,76,128,1,13,16,39,-34.9964963,-64.9672817
DNK,19,20,Denmark,,4091,77,1.88,1733,12,43,68,0,3,8,55,55.670249,10.3333283
SVK,20,21,Slovakia,,3970,244,6.15,1698,13,27,63,2,2,15,45,48.7411522,19.4528646
SWE,21,22,Sweden,,3872,150,3.87,1694,22,43,96,0,8,6,48,59.6749712,14.5208584
AUT,22,23,Austria,,3787,211,5.57,1793,9,58,143,1,3,15,50,47.59397,14.12456
GBR,23,24,United Kingdom,,3610,243,6.73,1794,36,65,106,4,11,12,45,54.7023545,-3.2765753
LKA,24,25,Sri Lanka,,3364,864,25.68,1288,0,1,13,0,2,15,21,7.5554942,80.7137847
NOR,25,26,Norway,,3355,145,4.32,1597,16,34,69,2,5,3,42,61.1529386,8.7876653
HRV,26,27,Croatia,,3325,257,7.73,1672,30,60,136,3,9,12,46,45.3658443,15.6575209
BEL,27,28,Belgium,,3252,170,5.23,1666,9,27,65,0,1,6,44,50.6402809,4.6667145
COL,28,29,Colombia,,2831,428,15.12,1715,9,36,85,2,16,17,34,4.099917,-72.9088133
CHE,29,30,Switzerland,,2679,111,4.14,1637,9,38,91,3,2,10,50,46.7985624,8.2319736
PER,30,31,Peru,,2576,443,17.2,1435,8,16,37,1,6,17,25,-6.8699697,-75.0458515
ISR,31,32,Israel,,2520,161,6.39,1692,43,63,74,4,8,7,41,30.8124247,34.8594762
KAZ,32,33,Kazakhstan,,2425,403,16.62,1426,15,42,58,5,8,26,27,48.1012954,66.7780818
VEN,33,34,"Venezuela, Bolivarian Republic of",,2304,315,13.67,1585,2,23,37,0,14,9,31,8.0018709,-66.1109318
EGY,34,35,Egypt,,2194,110,5.01,1524,6,27,19,3,6,2,39,26.2540493,29.2675469
CHL,35,36,Chile,,2187,207,9.47,1627,6,11,46,0,3,9,36,-31.7613365,-71.3187697
CUB,36,37,Cuba,,2172,386,17.77,1877,27,49,144,7,17,61,35,23.0131338,-80.8328748
AUS,37,38,Australia,,2141,189,8.83,1647,10,26,58,3,10,19,39,-24.7761086,134.755
PRT,38,39,Portugal,,2087,171,8.19,1510,4,14,19,0,1,7,37,39.6621648,-8.1353519
AZE,39,40,Azerbaijan,,1876,355,18.92,1497,25,32,36,12,6,18,24,40.3936294,47.7872508
MEX,40,41,Mexico,,1863,326,17.5,1594,3,27,58,0,15,11,32,23.6585116,-102.0077097
BGR,41,42,Bulgaria,,1843,260,14.11,1681,32,54,31,4,12,10,39,42.6073975,25.4856617
MYS,42,43,Malaysia,,1729,314,18.16,1427,0,8,15,0,3,8,24,4.5693754,102.2656823
CHN,43,44,China,,1575,455,28.89,1718,48,39,24,17,21,14,21,35.000074,104.999927
SVN,44,45,Slovenia,,1466,183,12.48,1739,11,24,60,4,6,15,44,46.1199444,14.8153333
CAN,45,46,Canada,,1458,146,10.01,1812,14,36,92,1,12,16,36,61.0666922,-107.991707
GEO,46,47,Georgia,,1282,352,27.46,1543,31,40,20,11,12,20,28,32.3293809,-83.1137366
ECU,47,48,Ecuador,,1211,301,24.86,1572,1,14,20,2,4,14,26,-1.3397668,-79.3666965
ARM,48,49,Armenia,,1191,181,15.2,1699,41,27,33,4,10,6,26,40.7696272,44.6736646
BGD,49,50,Bangladesh,,1190,100,8.4,1660,5,3,12,0,3,5,35,24.4769288,90.2934413
ZAF,50,51,South Africa,,1174,194,16.52,1469,1,9,26,1,13,19,29,-28.8166236,24.991639
FIN,51,52,Finland,,1117,49,4.39,1872,5,22,84,0,1,4,48,63.2467777,25.9209164
LTU,52,53,Lithuania,,1071,186,17.37,1642,8,17,23,1,4,6,36,55.3500003,23.7499997
BOL,53,54,"Bolivia, Plurinational State of",,1051,225,21.41,1397,1,2,12,0,3,4,23,-17.0568696,-64.9912286
UZB,54,55,Uzbekistan,,1011,206,20.38,1656,16,14,26,5,5,9,28,41.32373,63.9528098
BLR,55,56,Belarus,,992,186,18.75,1645,17,26,34,4,5,26,30,53.4250605,27.6971358
PHL,56,57,Philippines,,942,186,19.75,1728,13,25,22,1,10,9,32,12.7503486,122.7312101
BIH,57,58,Bosnia and Herzegovina,,926,78,8.42,1878,8,19,63,1,1,5,46,44.3053476,17.5961467
IDN,58,59,Indonesia,,879,155,17.63,1868,5,23,54,1,8,32,37,-2.4833826,117.8902853
NPL,59,60,Nepal,,857,52,6.07,1572,0,0,5,0,0,1,37,28.3780464,83.9999901
MMR,60,61,Myanmar,,798,32,4.01,1891,0,5,30,0,0,6,43,17.1750495,95.9999652
CRI,61,62,Costa Rica,,740,114,15.41,1493,1,8,14,0,5,5,30,10.2735633,-84.0739102
VNM,62,63,Viet Nam,,728,273,37.5,1720,11,16,19,5,14,40,24,15.9266657,107.9650855
LVA,63,64,Latvia,,724,137,18.92,1709,11,10,29,5,4,8,35,56.8406494,24.7537645
IRQ,64,65,Iraq,,691,68,9.84,1595,0,7,18,0,2,6,37,33.0955793,44.1749775
IRL,65,66,Ireland,,689,41,5.95,1752,1,8,18,0,0,7,45,52.865196,-7.9794599
ZMB,66,67,Zambia,,674,61,9.05,1749,1,8,4,0,1,1,32,-14.5189121,27.5589884
KOR,67,68,"Korea, Republic of",,663,160,24.13,1422,1,3,2,0,0,3,25,1.3011207,103.8551876
MDA,68,69,"Moldova, Republic of",,654,125,19.11,1463,7,22,30,4,4,7,31,46.6745434,29.7521996
DOM,69,70,Dominican Republic,,652,51,7.82,1719,1,6,19,0,0,4,37,19.0974031,-70.3028026
ISL,70,71,Iceland,,642,34,5.3,1747,14,12,30,1,2,2,44,64.9841821,-18.1059013
SGP,71,72,Singapore,,638,98,15.36,1285,3,14,23,1,2,8,24,1.357107,103.8194992
DZA,72,73,Algeria,,633,104,16.43,1591,3,12,13,0,12,8,31,28.0000272,2.9999825
MNG,73,74,Mongolia,,560,197,35.18,1690,4,12,28,2,8,11,29,46.8250388,103.8499736
URY,74,75,Uruguay,,559,37,6.62,1453,2,6,11,0,1,2,41,-32.8755548,-56.0201525
JOR,75,76,Jordan,,513,58,11.31,1545,0,3,13,0,2,4,33,31.1667049,36.941628
KEN,76,77,Kenya,,501,82,16.37,1376,0,0,3,0,0,6,29,1.4419683,38.4313975
LBY,77,78,Libya,,501,6,1.2,1706,0,0,8,0,0,2,37,26.8234472,18.1236723
KGZ,78,79,Kyrgyzstan,,468,84,17.95,1509,0,7,3,0,1,2,28,41.5089324,74.724091
NZL,79,80,New Zealand,,461,52,11.28,1716,1,6,22,0,3,5,41,-41.5000831,172.8344077
,80,81,SCOTLAND,,440,30,6.82,1818,7,9,21,0,0,6,47,56.7861112,-4.1140518
TUN,81,82,Tunisia,,439,45,10.25,1621,2,6,10,0,1,6,34,33.8439408,9.400138
PRY,82,83,Paraguay,,436,45,10.32,1524,4,4,14,0,2,1,33,-23.3165935,-58.1693445
EST,83,84,Estonia,,436,96,22.02,1742,6,15,13,1,5,10,35,58.7523778,25.3319078
MNE,84,85,Montenegro,,429,36,8.39,1872,6,15,33,0,2,2,47,42.7755624,19.2022423
AGO,85,86,Angola,,371,48,12.94,1636,0,10,9,0,2,3,30,-11.8775768,17.5691241
,86,87,Macedonia,,363,29,7.99,1542,10,10,22,0,1,4,41,41.1927739,-95.4256198
BWA,87,88,Botswana,,360,93,25.83,1524,0,1,5,1,4,4,23,-23.1681782,24.5928742
ARE,89,90,United Arab Emirates,,343,104,30.32,1479,2,6,16,0,4,7,22,24.0002488,53.9994829
THA,90,91,Thailand,,334,67,20.06,1528,0,0,9,0,0,3,29,14.8971921,100.83273
LUX,91,92,Luxembourg,,315,19,6.03,1774,0,4,7,2,2,1,47,49.8158683,6.1296751
MDG,92,93,Madagascar,,305,28,9.18,1574,0,2,3,0,0,3,33,-18.9249604,46.4416422
SYR,93,94,Syrian Arab Republic,,299,24,8.03,1834,0,5,13,0,1,1,40,34.8147886,38.4231781
MAR,94,95,Morocco,,298,28,9.4,1759,1,6,9,0,2,3,37,28.3347722,-10.3713379
NGA,95,96,Nigeria,,295,36,12.2,1899,0,7,16,0,0,5,37,9.6000359,7.9999721
ZWE,96,97,Zimbabwe,,287,66,23.0,1617,0,4,0,0,0,0,25,-18.4554963,29.7468414
PRI,97,98,Puerto Rico,,285,29,10.18,1600,0,3,8,0,1,3,35,18.2247706,-66.4858295
HKG,98,99,Hong Kong,,281,24,8.54,1480,0,0,9,0,0,1,27,22.350627,114.1849161
TKM,99,100,Turkmenistan,,271,72,26.57,1872,5,8,15,1,0,20,33,39.3763807,59.3924609
JAM,100,101,Jamaica,,259,37,14.29,1235,0,2,6,0,1,0,27,18.1850507,-77.3947693
PAN,101,102,Panama,,252,33,13.1,1613,0,2,8,0,0,2,32,8.559559,-81.1308434
JPN,103,104,Japan,,244,23,9.43,1803,0,3,9,0,1,2,38,36.5748441,139.2394179
UGA,104,105,Uganda,,243,32,13.17,1652,0,2,8,0,0,5,29,1.5333554,32.2166578
ALB,105,106,Albania,,234,17,7.26,1751,1,7,6,0,0,3,43,41.000028,19.9999619
SLV,107,108,El Salvador,,230,45,19.57,1627,0,4,8,0,4,7,33,13.8000382,-88.9140683
NIC,108,109,Nicaragua,,223,31,13.9,1619,0,3,16,0,1,2,32,12.3506436,-85.7841006
GTM,109,110,Guatemala,,219,37,16.89,1588,0,2,11,0,4,1,33,15.5855545,-90.345759
HND,110,111,Honduras,,219,31,14.16,1611,0,1,8,0,0,3,32,15.2572432,-86.0755145
MWI,111,112,Malawi,,211,20,9.48,1627,0,0,2,0,0,1,32,-13.2687204,33.9301963
TTO,112,113,Trinidad and Tobago,,205,32,15.61,1577,0,1,12,0,1,2,34,10.7466905,-61.0840075
LBN,113,114,Lebanon,,191,19,9.95,1630,0,3,6,0,1,3,33,33.8750629,35.843409
SDN,114,115,Sudan,,182,10,5.49,1716,0,1,6,0,0,0,41,14.5844444,29.4917691
FRO,115,116,Faroe Islands,,176,3,1.7,1698,1,2,7,0,0,0,44,62.1988704,-6.8178451
SAU,117,118,Saudi Arabia,,152,0,0.0,1591,0,0,1,0,0,0,37,25.6242618,42.3528328
CYP,118,119,Cyprus,,151,8,5.3,1335,0,0,5,0,0,0,33,34.9174159,32.8899027
OMN,119,120,Oman,,147,4,2.72,1141,0,0,3,0,0,0,31,21.0000287,57.0036901
BRB,120,121,Barbados,,143,26,18.18,1573,0,4,5,0,0,1,31,13.1500331,-59.5250305
MLT,122,123,Malta,,132,11,8.33,1554,0,1,2,0,0,3,39,35.8885993,14.4476911
SUR,123,124,Suriname,,131,27,20.61,1469,0,0,4,0,0,5,23,4.1413025,-56.0771187
PAK,124,125,Pakistan,,130,9,6.92,1746,0,2,2,0,0,0,44,30.3308401,71.247499
TJK,125,126,Tajikistan,,129,38,29.46,1681,1,4,4,0,0,1,36,38.6281733,70.8156541
LSO,126,127,Lesotho,,121,16,13.22,1375,0,0,0,0,0,1,24,-29.6039267,28.3350193
KWT,127,128,Kuwait,,119,14,11.76,1412,0,0,2,0,0,0,35,29.2733964,47.4979476
PLW,128,129,Palau,,116,29,25.0,1395,0,0,0,0,0,1,41,5.3783537,132.9102573
ETH,129,130,Ethiopia,,90,22,24.44,1742,0,0,2,0,0,0,34,10.2116702,38.6521203
NAM,130,131,Namibia,,86,21,24.42,1453,0,0,2,0,0,1,22,-23.2335499,17.3231107
GHA,131,132,Ghana,,82,10,12.2,1542,0,1,1,0,0,1,32,8.0300284,-1.0800271
AFG,132,133,Afghanistan,,78,1,1.28,1650,0,0,5,0,0,0,40,33.7680065,66.2385139
BMU,133,134,Bermuda,,72,3,4.17,1447,0,0,1,0,0,1,46,32.3040273,-64.7563086
MRT,134,135,Mauritania,,72,5,6.94,1661,0,0,1,0,0,0,41,20.2540382,-9.2399263
